ID, x, y, ux, uy, damage
0,-34.5,-29.5,0,0,0
1,-34.5,-28.5,0,0,0
2,-34.5,-27.5,0,0,0
3,-34.5,-26.5,0,0,0
4,-34.5,-25.5,0,0,0
5,-34.5,-24.5,0,0,0
6,-34.5,-23.5,0,0,0
7,-34.5,-22.5,0,0,0
8,-34.5,-21.5,0,0,0
9,-34.5,-20.5,0,0,0
10,-34.5,-19.5,0,0,0
11,-34.5,-18.5,0,0,0
12,-34.5,-17.5,0,0,0
13,-34.5,-16.5,0,0,0
14,-34.5,-15.5,0,0,0
15,-34.5,-14.5,0,0,0
16,-34.5,-13.5,0,0,0
17,-34.5,-12.5,0,0,0
18,-34.5,-11.5,0,0,0
19,-34.5,-10.5,0,0,0
20,-34.5,-9.5,0,0,0
21,-34.5,-8.5,0,0,0
22,-34.5,-7.5,0,0,0
23,-34.5,-6.5,0,0,0
24,-34.5,-5.5,0,0,0
25,-34.5,-4.5,0,0,0
26,-34.5,-3.5,0,0,0
27,-34.5,-2.5,0,0,0
56,-33.5,-29.5,0,0,0
57,-33.5,-28.5,0,0,0
58,-33.5,-27.5,0,0,0
59,-33.5,-26.5,0,0,0
60,-33.5,-25.5,0,0,0
61,-33.5,-24.5,0,0,0
62,-33.5,-23.5,0,0,0
63,-33.5,-22.5,0,0,0
64,-33.5,-21.5,0,0,0
65,-33.5,-20.5,0,0,0
66,-33.5,-19.5,0,0,0
67,-33.5,-18.5,0,0,0
68,-33.5,-17.5,0,0,0
69,-33.5,-16.5,0,0,0
70,-33.5,-15.5,0,0,0
71,-33.5,-14.5,0,0,0
72,-33.5,-13.5,0,0,0
73,-33.5,-12.5,0,0,0
74,-33.5,-11.5,0,0,0
75,-33.5,-10.5,0,0,0
76,-33.5,-9.5,0,0,0
77,-33.5,-8.5,0,0,0
78,-33.5,-7.5,0,0,0
79,-33.5,-6.5,0,0,0
80,-33.5,-5.5,0,0,0
81,-33.5,-4.5,0,0,0
82,-33.5,-3.5,0,0,0
83,-33.5,-2.5,0,0,0
112,-32.5,-29.5,0,0,0
113,-32.5,-28.5,0,0,0
114,-32.5,-27.5,0,0,0
115,-32.5,-26.5,0,0,0
116,-32.5,-25.5,0,0,0
117,-32.5,-24.5,0,0,0
118,-32.5,-23.5,0,0,0
119,-32.5,-22.5,0,0,0
120,-32.5,-21.5,0,0,0
